id,name,known_as,image_url,birth_year,birth_location,murder_count_proved,murder_count_actual,victim_stats,country,years_active_from,years_active_to,active_in_provinces,method,sentence_details,motive,additional_info,status,caught_by,source_url,scraped_at
1,Luis Garavito,"[""The Beast Goofy Conflict Bonifacio Morera Lizcano""]",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Luis_Alfredo_Garavito_Cubillos.jpg/250px-Luis_Alfredo_Garavito_Cubillos.jpg,1957,Colombia,193,194,"{""proved_victims"": 193, ""possible_victims"": 194, ""female"": 0, ""male"": 0, ""under_18"": 0, ""18_30"": 0, ""31_45"": 0, ""46_60"": 0, ""above_60"": 0, ""major_occupation"": null}",Colombia Ecuador Venezuela,,,"[""Valle del Cauca"", ""Boyac\u00e1"", ""Meta"", ""Quind\u00edo"", ""Risaralda"", ""Cundinamarca"", ""Nari\u00f1o"", ""Huila"", ""Caquet\u00e1"", ""Antioquia and Caldas"", ""[ 5 ] [ page needed ] Chone""]",,"1,853 years and 9 days' imprisonment (2001) [ 2 ] 835 years' imprisonment (2000) [ 3 ] 22 years' imprisonment in Ecuador (2007) [ 4 ]",,"Luis Alfredo Garavito Cubillos (25 January 1957 – 12 October 2023), also known as La Bestia (""The Beast"") or Tribilín ("" Goofy ""), was a Colombian serial killer and sex offender who sexually assaulted 200 victims before murdering 193 victims, mostly young men and boys from 1992 to 1999 in western Colombia.",,,https://en.wikipedia.org/wiki/Luis_Garavito,2026-07-05T16:17:37.118379+00:00
2,Mariam Soulakiotis,,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/Mariam_Soulakiotis_infobox.png/250px-Mariam_Soulakiotis_infobox.png,,Greece,177,500,"{""proved_victims"": 177, ""possible_victims"": 500, ""female"": 0, ""male"": 0, ""under_18"": 0, ""18_30"": 0, ""31_45"": 0, ""46_60"": 0, ""above_60"": 0, ""major_occupation"": null}",,,,,,,,"Abbess Mariam Soulakiotis ( c. 1883 – 23 November 1954), née Marina Soulakiotou , also known either to her followers as Mariam of Keratea , or in contemporary media pejoratively as "" Mother Rasputin "", was a Greek Old Calendarist Orthodox abbess and serial killer who was found guilty of numerous counts of murder , fraud and other crimes , which public prosecutors of the Kingdom of Greece alleged she committed against both laypeople and other nuns in her abbey between 1939 and her arrest in December 1950.",,,https://en.wikipedia.org/wiki/Mariam_Soulakiotis,2026-07-05T16:17:40.043397+00:00
3,Pedro López,"[""El Monstruo de los Andes (The Monster of the Andes) [ 1 ] [ 2 ] [ 3 ] El Estrangulador de los Andes (The Strangler of the Andes) [ 4 ] [ 5 ] Pedro Alonso L\u00f3pez Monsalve [ 6 ] [ 7 ] [ 8 ] Pedro Armando L\u00f3pez [ 9 ] [ 10 ] [ 11 ]""]",https://upload.wikimedia.org/wikipedia/en/thumb/e/ed/Predo_Lopez.png/250px-Predo_Lopez.png,1948,Colombia,110,300,"{""proved_victims"": 110, ""possible_victims"": 300, ""female"": 0, ""male"": 0, ""under_18"": 0, ""18_30"": 0, ""31_45"": 0, ""46_60"": 0, ""above_60"": 0, ""major_occupation"": null}","Colombia , Ecuador , Peru",,,"[""Tolima (Colombia) Tungurahua (Ecuador) Ayacucho (Peru)""]",,Released in 1998,,"Pedro Alonso López (born October 8th 1948 – disappeared 22 September 1999), also known as the Monster of the Andes , is a Colombian serial killer , child rapist , and fugitive who murdered a minimum of 110 people, mostly pre-teen girls, from 1978 to 1980. López claimed to have murdered over 300 people in Colombia, Ecuador, and Peru. He is considered by many as one of the most prolific serial killers and rapists in history.",,,https://en.wikipedia.org/wiki/Pedro_López_(serial_killer),2026-07-05T16:17:42.146382+00:00
4,Javed Iqbal,,https://upload.wikimedia.org/wikipedia/en/3/39/Javed_Iqbal.jpg,1961,Pakistan,100,100,"{""proved_victims"": 100, ""possible_victims"": 100, ""female"": 0, ""male"": 0, ""under_18"": 0, ""18_30"": 0, ""31_45"": 0, ""46_60"": 0, ""above_60"": 0, ""major_occupation"": null}",Pakistan,,,,,,,"Javed Iqbal Mughal (1961 – 8 October 2001) was a Pakistani serial killer and child molester who confessed to the sexual abuse and murder of 100 young boys, ranging in age from 6 to 16. His victims were strangled, dismembered, and then dissolved in acid to destroy any evidence.",,,https://en.wikipedia.org/wiki/Javed_Iqbal_(serial_killer),2026-07-05T16:17:44.235689+00:00
5,Mikhail Popkov,"[""The Werewolf The Angarsk Maniac The Wednesday Murderer""]",https://upload.wikimedia.org/wikipedia/en/thumb/5/57/Mikhail_Popkov.jpeg/250px-Mikhail_Popkov.jpeg,1964,USSR [ 1 ],83,86,"{""proved_victims"": 83, ""possible_victims"": 86, ""female"": 0, ""male"": 0, ""under_18"": 0, ""18_30"": 0, ""31_45"": 0, ""46_60"": 0, ""above_60"": 0, ""major_occupation"": null}",Russia,,,"[""Irkutsk Oblast Primorsky Krai""]",,,Hatred of prostitutes Misogyny Sexual sadism,"Mikhail Viktorovich Popkov ( Russian : Михаи́л Ви́кторович Попко́в ; born 7 March 1964) is a Russian serial killer , rapist , and necrophile who committed the sexual assault and murder of eighty-seven girls and women between 1992 and 2011 in Angarsk , Irkutsk , in Siberia , and Vladivostok in the Russian Far East , although he has confessed to and is suspected of at least ninety in total. He is known as "" the Werewolf "" and "" the Angarsk Maniac "" for the particularly brutal nature of his crimes; he would extensively mutilate the bodies of his victims and perform sexual acts on them. Popkov was also known as "" the Wednesday Murderer "" because most of his victims' bodies were found on Wednesdays. He is the single most prolific serial killer in Russian history.",,,https://en.wikipedia.org/wiki/Mikhail_Popkov,2026-07-05T16:17:46.817008+00:00
6,Daniel Camargo Barbosa,"[""\""The Sadist of El Charquito\"" \""The Monster of the Mangroves\"" Manuel Bulgarin Solis""]",https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Daniel_Camargo_Barbosa_1958_Mugshot.png/250px-Daniel_Camargo_Barbosa_1958_Mugshot.png,1930,Colombia,72,180,"{""proved_victims"": 72, ""possible_victims"": 180, ""female"": 0, ""male"": 0, ""under_18"": 0, ""18_30"": 0, ""31_45"": 0, ""46_60"": 0, ""above_60"": 0, ""major_occupation"": null}","Colombia, Ecuador",,,"[""Guayas"", ""Pichincha"", ""Tungurahua"", ""El Oro"", ""Los R\u00edos""]",,,,Daniel Camargo Barbosa (22 January 1930 – 13 November 1994) was a Colombian serial killer and rapist. He is one of the most prolific serial killers in history and is believed to have raped and murdered at least 72 young girls in Colombia and Ecuador during the 1970s and 1980s.,,,https://en.wikipedia.org/wiki/Daniel_Camargo_Barbosa,2026-07-05T16:17:48.750727+00:00
7,Pedro Rodrigues Filho,"[""Killer Petey Pedrinho Matador""]",https://upload.wikimedia.org/wikipedia/commons/d/d2/Pedrinho_Matador%2C_1991%2C_2.jpg,1954,Brazil,71,100,"{""proved_victims"": 71, ""possible_victims"": 100, ""female"": 0, ""male"": 0, ""under_18"": 0, ""18_30"": 0, ""31_45"": 0, ""46_60"": 0, ""above_60"": 0, ""major_occupation"": null}",,20,20,,,,,"Pedro Rodrigues Filho (29 October 1954 – 5 March 2023), also known as Pedrinho Matador , Killer Lil' Pedro , Killer Killer Petey , or simply Killer Petey , was a Brazilian serial killer , spree killer , vigilante , and YouTuber known for pursuing and killing other criminals and suspected criminals. He committed most of his crimes as a teenager, when he was between 14 and 19 years old, and was officially sentenced for 71 murders, but claimed to have killed over 100 people, including drug dealers, rapists, and murderers, and served a total of 34 years in prison before his release in 2007. In 2011, Rodrigues was imprisoned again on charges of inciting riot and deprivation of liberty for crimes committed in prison; he was sentenced to eight years in prison, but was released again in 2018 after seven years on good behavior.",,,https://en.wikipedia.org/wiki/Pedro_Rodrigues_Filho,2026-07-05T16:17:50.839918+00:00
8,Kampatimar Shankariya,,https://upload.wikimedia.org/wikipedia/en/7/7a/Kampatimar_Shankariya.webp,1952,India,70,70,"{""proved_victims"": 70, ""possible_victims"": 70, ""female"": 0, ""male"": 0, ""under_18"": 0, ""18_30"": 0, ""31_45"": 0, ""46_60"": 0, ""above_60"": 0, ""major_occupation"": null}",India,,,,,Murder,,Kampatimar Shankariya (1952 – 16 May 1979) was an Indian serial killer .,,,https://en.wikipedia.org/wiki/Kampatimar_Shankariya,2026-07-05T16:17:52.762449+00:00
9,Hoshang Amini,"[""\""The Ghost of the Qanat Wells\"" \""The Felt Hat Killer\""""]",,1936,Iran,67,67,"{""proved_victims"": 67, ""possible_victims"": 67, ""female"": 0, ""male"": 0, ""under_18"": 0, ""18_30"": 0, ""31_45"": 0, ""46_60"": 0, ""above_60"": 0, ""major_occupation"": null}",Iran,,,,,Murder x67,,"Hoshang Amini ( Persian : هوشنگ امینی ;‎ 1936 – December 1963), known as The Ghost of the Qanat Wells ( شبح چاه‌های قنات ), was an Iranian serial killer and rapist who murdered 67 people in the city of Varamin from 1954 to 1962, sometimes aided by accomplices. He earned his nickname for decapitating his victims post-mortem and then dumping their bodies into wells.",,,https://en.wikipedia.org/wiki/Hoshang_Amini,2026-07-05T16:17:54.960869+00:00
10,Yang Xinhai,"[""Yang Zhiya (\u6768\u679d\u7259) Yang Liu (\u6768\u67f3)""]",https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/YangXinhai.png/250px-YangXinhai.png,1968,China,67,67,"{""proved_victims"": 67, ""possible_victims"": 67, ""female"": 0, ""male"": 0, ""under_18"": 0, ""18_30"": 0, ""31_45"": 0, ""46_60"": 0, ""above_60"": 0, ""major_occupation"": null}",China,,,"[""Anhui Hebei Henan Shandong""]",,,,"Yang Xinhai ( Chinese : 杨新海 ; pinyin : Yáng Xīnhǎi ; 17 July 1968 – 14 February 2004) was a Chinese serial killer and mass murderer who confessed to committing 67 murders and 23 rapes between 2000 and 2003. He was sentenced to death and executed . He is the most prolific known serial killer in China since the establishment of the People's Republic of China in 1949. The South China Morning Post dubbed Yang the ""Monster Killer"".",,,https://en.wikipedia.org/wiki/Yang_Xinhai,2026-07-05T16:17:56.940442+00:00
